schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date
1.0,RESEARCH_PAPER,Towards Democratizing Joint-Embedding Self-Supervised Learning,[],https://arxiv.org/abs/2303.01986v1,https://github.com/facebookresearch/ffcv-ssl,215,
1.0,RESEARCH_PAPER,"SCONNA: A Stochastic Computing Based Optical Accelerator for Ultra-Fast, Energy-Efficient Inference of Integer-Quantized CNNs",[],https://arxiv.org/abs/2302.07036v1,https://github.com/uky-ucat/sc_onn_sim,4,
1.0,RESEARCH_PAPER,Team DETR: Guide Queries as a Professional Team in Detection Transformers,[],https://arxiv.org/abs/2302.07116v3,https://github.com/horrible-dong/teamdetr,21,
1.0,RESEARCH_PAPER,DP-BART for Privatized Text Rewriting under Local Differential Privacy,[],https://arxiv.org/abs/2302.07636v2,https://github.com/trusthlt/dp-bart-private-rewriting,18,
1.0,RESEARCH_PAPER,Optical flow estimation from event-based cameras and spiking neural networks,[],https://arxiv.org/abs/2302.06492v2,https://github.com/j-cuadrado/of_ev_snn,37,
1.0,RESEARCH_PAPER,Human Guided Ground-truth Generation for Realistic Image Super-resolution,[],https://arxiv.org/abs/2303.13069v1,https://github.com/chrisdud0257/hggt,131,
1.0,RESEARCH_PAPER,"Multi3WOZ: A Multilingual, Multi-Domain, Multi-Parallel Dataset for Training and Evaluating Culturally Adapted Task-Oriented Dialog Systems",[],https://arxiv.org/abs/2307.14031v1,https://github.com/cambridgeltl/multi3woz,17,
1.0,RESEARCH_PAPER,RGBD Object Tracking: An In-depth Review,[],https://arxiv.org/abs/2203.14134v1,https://github.com/memoryunreal/rgbd-tracking-review,57,
1.0,RESEARCH_PAPER,Alias-Free Convnets: Fractional Shift Invariance via Polynomial Activations,[],https://arxiv.org/abs/2303.08085v2,https://github.com/hmichaeli/alias_free_convnets,21,
1.0,RESEARCH_PAPER,Marginalised Gaussian Processes with Nested Sampling,[],https://arxiv.org/abs/2010.16344v2,https://github.com/frgsimpson/nsampling,0,
1.0,RESEARCH_PAPER,"Filtering, Distillation, and Hard Negatives for Vision-Language Pre-Training",[],https://arxiv.org/abs/2301.02280v2,https://github.com/facebookresearch/diht,139,
